,0,1
0,0.8033742,0.19662589
1,0.00649462,0.99350536
2,0.6334895,0.36651054
3,0.00036891023,0.99963105
4,0.8613808,0.13861914
5,0.20788515,0.79211485
6,0.61107004,0.38893002
7,0.095046714,0.90495324
8,0.29029098,0.709709
9,0.666531,0.333469
10,0.5508348,0.44916525
11,0.7994907,0.2005093
12,0.78080827,0.21919173
13,0.84519714,0.15480286
14,0.26981294,0.73018706
15,0.8673691,0.1326309
16,0.78933537,0.21066459
17,0.78400254,0.21599743
18,0.5528113,0.44718868
19,0.7040193,0.29598075
20,0.743048,0.256952
21,0.21889204,0.78110796
22,0.4952646,0.5047354
23,0.19368626,0.80631375
24,0.9908942,0.009105842
25,0.49220625,0.5077937
26,0.8869196,0.11308041
27,0.007337764,0.9926622
28,0.99923694,0.0007630413
29,0.0056996397,0.99430037
30,0.38030952,0.6196905
31,0.32205606,0.6779439
32,0.8509227,0.14907733
33,0.79809,0.20191
34,0.8284391,0.17156087
35,0.043619484,0.95638055
36,0.2973881,0.70261186
37,0.71406287,0.2859371
38,0.050099388,0.94990057
39,0.964242,0.03575805
40,0.9982741,0.0017258715
41,0.0022201133,0.9977799
42,0.04753058,0.95246947
43,0.04343702,0.956563
44,0.80564255,0.19435742
45,0.8138114,0.18618855
46,0.8820169,0.117983125
47,0.91388977,0.08611023
48,0.01171219,0.98828787
49,0.82338107,0.17661893
50,0.69765294,0.30234703
51,0.023382116,0.97661793
52,0.008750681,0.9912493
53,0.88204074,0.11795922
54,0.18091442,0.8190856
55,0.37905514,0.6209448
56,0.9999994,6.091074e-07
57,0.99985826,0.00014173872
58,0.078540966,0.921459
59,0.045046184,0.9549538
60,0.56675404,0.43324602
61,0.89931184,0.10068818
62,0.85948414,0.14051591
63,0.31324437,0.6867556
64,0.69289416,0.30710584
65,0.80367047,0.19632949
66,0.9974655,0.0025344589
67,0.7338659,0.26613408
68,0.8611258,0.1388742
69,0.98169935,0.018300673
70,0.017645307,0.98235476
71,0.35623455,0.6437655
72,0.4045644,0.5954356
73,0.6825996,0.31740037
74,0.019021306,0.9809787
75,0.280319,0.71968096
76,0.009057844,0.9909422
77,0.9734508,0.02654925
78,0.61951154,0.38048849
79,0.43522206,0.5647779
80,0.83289,0.16711006
81,0.999577,0.00042306527
82,0.7568522,0.24314782
83,0.8282945,0.17170547
84,0.5835487,0.41645128
85,0.77964675,0.2203532
86,0.81794465,0.18205537
87,0.86500907,0.13499089
88,0.7924003,0.20759964
89,0.84161,0.15839002
90,0.57073754,0.42926243
91,0.6907889,0.3092111
92,0.0023692325,0.9976307
93,0.7179249,0.28207508
94,0.3704211,0.62957895
95,0.74110234,0.25889766
96,0.10414958,0.8958504
97,0.934759,0.06524098
98,0.0005143049,0.9994856
99,0.78915685,0.21084312
100,0.6541539,0.34584606
101,7.0709584e-06,0.99999297
102,0.0007965022,0.9992035
103,0.5579678,0.44203225
104,0.2316333,0.7683667
105,0.87183076,0.12816925
106,0.001561544,0.9984384
107,0.96828204,0.031717915
108,0.024774924,0.97522503
109,0.0006194766,0.99938047
110,0.11452051,0.8854795
111,0.3274903,0.6725097
112,0.07658271,0.92341727
113,0.003617857,0.9963821
114,0.05252344,0.94747657
115,0.124974534,0.87502545
116,0.82694525,0.17305474
